Jugador,B,GS,MPP,%TC,%3P,%TL,OFE,DEF,PPP,RePP,APP,RoPP,TPP,PÉR,FP,Team,Conference
Bam Adebayo,54,54,32.6,55.5,0.0,74.8,2.5,7.7,18.9,10.2,3.4,1.4,0.8,2.7,3.1,Miami Heat,Eastern
Jimmy Butler,55,55,33.8,47.8,22.7,87.1,1.8,4.1,21.3,5.9,5.5,1.7,0.5,2.1,1.5,Miami Heat,Eastern
Dewayne Dedmon,66,15,15.9,56.6,41.3,75.5,1.6,4.2,6.3,5.8,0.7,0.3,0.6,1.0,2.6,Miami Heat,Eastern
Udonis Haslem,12,0,5.3,50.0,33.3,100.0,0.3,1.3,2.5,1.6,0.3,0.1,0.1,0.3,0.9,Miami Heat,Eastern
Tyler Herro,64,10,32.6,44.3,39.3,86.2,0.5,4.5,20.6,5.0,3.9,0.7,0.1,2.6,1.4,Miami Heat,Eastern
Haywood Highsmith,17,0,7.1,33.3,38.9,50.0,0.4,0.8,1.6,1.2,0.2,0.1,0.1,0.1,0.6,Miami Heat,Eastern
Kyle Lowry,62,62,33.9,43.6,37.5,85.5,0.5,4.0,13.4,4.5,7.6,1.0,0.3,2.7,2.8,Miami Heat,Eastern
Caleb Martin,58,11,22.8,50.9,40.5,76.7,1.2,2.6,9.2,3.8,1.1,1.0,0.5,0.8,1.7,Miami Heat,Eastern
Markieff Morris,17,1,17.5,47.4,33.3,88.9,1.0,1.6,7.6,2.6,1.4,0.4,0.1,1.2,1.9,Miami Heat,Eastern
Mychal Mulder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miami Heat,Eastern
Victor Oladipo,7,0,19.7,43.1,40.0,62.5,0.3,1.6,8.4,1.9,3.0,0.4,0.1,1.7,1.6,Miami Heat,Eastern
Duncan Robinson,76,67,26.0,39.6,36.7,83.6,0.3,2.3,10.9,2.6,1.6,0.5,0.2,0.8,2.6,Miami Heat,Eastern
Javonte Smart,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miami Heat,Eastern
Max Strus,66,14,23.3,43.7,40.6,78.8,0.4,2.6,10.6,3.0,1.3,0.4,0.2,0.8,1.7,Miami Heat,Eastern
P.J. Tucker,70,69,28.0,48.5,41.6,73.8,1.4,4.0,7.6,5.4,2.1,0.8,0.2,0.9,2.3,Miami Heat,Eastern
Gabe Vincent,65,26,23.6,41.6,36.7,81.5,0.3,1.5,8.8,1.9,3.1,0.9,0.2,1.5,2.3,Miami Heat,Eastern
Omer Yurtseven,54,11,12.1,54.3,12.5,63.2,1.5,3.7,5.4,5.1,0.9,0.3,0.4,0.7,1.5,Miami Heat,Eastern
Jaylen Brown,63,63,33.7,47.4,36.0,76.7,0.8,5.3,23.7,6.1,3.4,1.0,0.3,2.7,2.4,Boston Celtics,Eastern
Malik Fitts,6,0,2.7,50.0,40.0,0.0,0.2,0.5,1.3,0.7,0.5,0.0,0.0,0.0,0.2,Boston Celtics,Eastern
Sam Hauser,23,0,5.4,42.5,41.7,0.0,0.2,0.7,2.1,1.0,0.3,0.0,0.1,0.1,0.3,Boston Celtics,Eastern
Al Horford,67,67,29.1,45.7,32.6,84.2,1.6,6.1,10.0,7.7,3.4,0.7,1.3,0.9,1.9,Boston Celtics,Eastern
Luke Kornet,9,0,5.6,53.8,0.0,0.0,0.6,1.0,1.6,1.6,0.3,0.2,0.1,0.0,0.3,Boston Celtics,Eastern
Juwan Morgan,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boston Celtics,Eastern
Aaron Nesmith,49,3,11.0,39.8,26.7,79.2,0.3,1.4,3.7,1.7,0.4,0.4,0.1,0.5,1.3,Boston Celtics,Eastern
Payton Pritchard,68,2,13.9,42.5,41.2,100.0,0.4,1.4,6.0,1.9,1.9,0.3,0.1,0.6,0.9,Boston Celtics,Eastern
Matt Ryan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boston Celtics,Eastern
Marcus Smart,68,68,32.6,41.4,32.2,79.1,0.6,3.3,12.0,3.9,5.9,1.7,0.3,2.2,2.3,Boston Celtics,Eastern
Nik Stauskas,6,0,2.5,33.3,33.3,50.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.2,0.0,Boston Celtics,Eastern
Jayson Tatum,74,74,36.1,45.2,35.1,85.4,1.1,6.8,27.0,8.0,4.4,1.0,0.6,2.8,2.3,Boston Celtics,Eastern
Daniel Theis,18,3,16.9,60.0,30.0,66.7,0.9,3.4,6.6,4.3,0.8,0.5,0.8,0.7,2.3,Boston Celtics,Eastern
Brodric Thomas,10,0,4.8,40.0,12.5,50.0,0.2,0.5,1.5,0.7,0.8,0.0,0.1,0.4,0.6,Boston Celtics,Eastern
Derrick White,23,3,27.5,39.7,28.6,88.1,0.5,2.8,10.8,3.3,3.6,0.7,0.7,1.2,2.3,Boston Celtics,Eastern
Grant Williams,74,20,24.2,48.1,41.8,89.9,0.8,2.7,7.9,3.5,1.0,0.5,0.7,0.8,2.4,Boston Celtics,Eastern
Robert Williams III,61,61,29.6,73.6,0.0,72.2,3.9,5.7,10.0,9.6,2.0,0.9,2.2,1.0,2.2,Boston Celtics,Eastern
Grayson Allen,65,61,27.4,44.6,40.9,85.7,0.5,2.9,11.1,3.4,1.5,0.7,0.2,0.7,1.5,Milwaukee Bucks,Eastern
Giannis Antetokounmpo,64,64,33.0,55.4,29.6,72.1,2.0,9.6,30.1,11.6,5.8,1.1,1.4,3.3,3.2,Milwaukee Bucks,Eastern
Thanasis Antetokounmpo,45,5,9.4,52.3,9.1,58.3,0.9,1.2,3.0,2.1,0.4,0.3,0.2,0.5,1.4,Milwaukee Bucks,Eastern
DeAndre' Bembry,8,0,9.6,37.5,0.0,0.0,0.5,0.9,0.8,1.4,0.8,0.3,0.0,0.1,1.1,Milwaukee Bucks,Eastern
Jevon Carter,16,1,18.2,58.5,61.1,100.0,0.3,1.9,6.6,2.1,2.6,0.4,0.2,0.4,1.0,Milwaukee Bucks,Eastern
Pat Connaughton,62,19,26.3,46.1,39.7,82.7,0.7,3.5,10.1,4.2,1.3,0.9,0.2,0.5,1.3,Milwaukee Bucks,Eastern
George Hill,51,17,23.6,42.5,31.0,91.1,0.7,2.2,6.2,3.0,2.3,0.8,0.1,0.8,1.3,Milwaukee Bucks,Eastern
Jrue Holiday,63,60,33.4,50.2,41.6,76.7,1.0,3.5,18.7,4.5,6.8,1.7,0.4,2.8,2.0,Milwaukee Bucks,Eastern
Serge Ibaka,18,2,18.2,50.5,36.1,80.0,1.1,4.2,6.9,5.3,0.7,0.2,0.4,0.6,2.4,Milwaukee Bucks,Eastern
Brook Lopez,10,8,22.4,42.2,34.1,78.6,1.3,2.2,10.1,3.5,0.6,0.6,1.0,1.0,3.0,Milwaukee Bucks,Eastern
Sandro Mamukelashvili,38,2,9.3,47.9,42.2,75.0,0.8,1.0,3.2,1.8,0.5,0.2,0.2,0.3,0.7,Milwaukee Bucks,Eastern
Wesley Matthews,46,11,20.2,37.9,33.1,73.9,0.6,1.3,4.8,1.9,0.7,0.5,0.2,0.4,1.8,Milwaukee Bucks,Eastern
Khris Middleton,63,63,32.5,44.1,37.4,89.0,0.7,4.8,20.1,5.4,5.4,1.1,0.3,2.9,2.4,Milwaukee Bucks,Eastern
Jordan Nwora,59,12,19.2,41.1,35.0,81.3,0.6,2.9,7.8,3.5,0.9,0.4,0.3,0.9,1.3,Milwaukee Bucks,Eastern
